Object ID,Name,Geolocatiion_latitude,Geolocatiion_longitude,Ownership,Address #,Street,City,State,Zipcode,Year Built,Category,Type,Status,Gender?,Ethnicity?,Controversy? Yes/No?,Vandalized? Yes/No? Provide Info + Links,Comments,Source
80,Back Bay Fens,-71.092931,42.343469,City of Boston,,The Fenway,Fenway,MA,,1879,Object,,Original Location,,,,,"As quickly as the Back Bay developed, another problem festered. A mill company's dam's basin became an increasingly noxious open sewer, particularly at low tide. Even then, pollution was a problem, and Bostonians demanded a solution. Enter Frederick Law Olmsted. He proposed to flush out the stagnant waterway and add naturalistic plantings to emulate the original tide marsh ecology of the Fenway area. His plan was true to both the character of the land and the needs of the growing population. Today we find in the Fens different charms from the ones Olmsted created. The 1910 damming of the Charles River changed the water here from brackish to fresh, rendering his plantings unsupportable. Only two of the original ""strong but unobtrusive"" bridges, the parks general boundaries and some early trees remain of Olmsted's design. The Fens continues to be much loved and utilized. Community gardens; the elegant Kellecher Rose Garden; World War II, Korean and Vietnam War memorial; busy ball fields; and the unusual range of bird species are major attractions.",http://bit.ly/OxlNwQ
31,Harriet Ross Tubman Memorial,-71.078141,42.34365,,465,Columbus ave,Boston,MA,2116,1999,Statue,,Original Location,,,,,,https://boston.curbed.com/maps/boston-statues-of-women
239,Tent City,-71.075442,42.345981,,100,Dartmouth St,Boston,MA,2116,1988,Building,,Original Location,,,,,"""In 1968, Boston racial justice activist, Mel King (b. 1928), led a group of community organizers in a four day occupation to protest the city’s urban renewal policy. The Boston Redevelopment Authority (BRA) planned to transform a lot that had been cleared by the city into a parking garage; as many as 100 families were displaced in the initial clearing and there was still great need for affordable housing in the working-class, predominantly black neighborhood. The Tent City occupation attracted support from activists and celebrities, including Celtics player and coach, Bill Russell, who fed the activists as they set up small tents on the lot. Despite multiple arrests, organizers formed the Tent City Task Force (later named the Tent City Corporation), which eventually forced the city to create the Tent City Housing Complex in 1988. Presently, the Tent City Housing Complex is a mixed income development.""",https://africanamericantrailproject.tufts.edu/20th-century-sites
240,Massachusetts Historical Society,-71.090024,42.346571,,1154,1154 Boylston St,Fenway,MA,,4/26/16,Building,,,,,,,,
213,Massachusetts Historical Society,-71.090024,42.346571,,1154,Boylston St,Boston,MA,2215,1791,Building,,Original Location,,,,,"“The Historical Society” was founded in 1791 by ten Bostonians. Today, the Massachusetts Historical Society is “the oldest organization in the United States devoted to collecting materials for the study of American history.” The Society’s vast collections include materials relating to slavery, abolition, and the Civil War, including the poems and letters of Boston’s Phillis Wheatley, the enslaved poet who wrote the first published book of poetry by an African American writer.",https://africanamericantrailproject.tufts.edu/18th-century-sites
233,Back Bay Station / Brotherhood of Sleeping Car Porters,-71.075797,42.347435,,145,Dartmouth St,Boston,MA,2116,1986,Statue,,Original Location,,,,,"""When Back Bay Station opened in 1899, African Americans represented nearly a third of the population surrounding Columbus Avenue and Dartmouth Street on the Albany Railroad. This population concentration was a result of the black community’s migration from Beacon Hill to Back Bay and the adjoining South End. Many men in these neighborhoods worked as Pullman Porters on interstate trains throughout the Northeast. During the 1910s, these porters organized in protest against discrimination and exploitative pay, which attracted the attention of Harlem activist A. Philip Randolph, who later founded the Brotherhood of Sleeping Car Porters (BSCP). The Brotherhood was established in 1925 and formally recognized as a union in 1937. In 1986, as part of the state’s Southwest Corridor project, artist Tina Allen was commissioned to design this statue for Back Bay Station to commemorate Randolph and the local black community’s contribution to the BSCP. The station concluded renovations in 1987.""",https://africanamericantrailproject.tufts.edu/20th-century-sites
234,Boston Center for Adult Education,-71.069432,42.349188,,5,Commonwealth Avenue,Back Bay,MA,2116,,Building,,,,,,,,
235,Boston Public Library - Copley Branch,-71.078187,42.349417,City of Boston,700,Boylston Street,Back Bay,MA,2116,12/12/00,Building,,,,,,,,http://bit.ly/1h9ebwA
46,Oak Square School,-71.168851,42.350105,,35,Nonantum Street,Brighton,MA,,4/10/79,Building,,,,,,,,http://bit.ly/1qg9aVk
60,Wang Theater,-71.06494,42.350224,,268,Tremont Street,Theater,MA,2116,7/10/90,Building,,,,,,,,http://bit.ly/1eoiIq3
230,Marsh Chapel and Howard Thurman,-71.106401,42.350563,,735,Commonwealth Ave,Boston,MA,2215,,Building,,Original Location,,,,,"""In 1953, Florida native Howard Washington Thurman (1899 - 1981) became Dean of Boston University’s Marsh Chapel; he served in this position until 1965. As the first African-American theologian appointed dean of a predominantly white institution, Thurman introduced non-violent theology to the Boston University community, including doctoral candidate Martin Luther King Jr. As a mentor to Dr. King and a committed civil rights activist in his own right, Thurman studied Quaker, Hindu, and Christian theology, and published over twenty books on philosophy and Christian theology, including the popular Jesus and the Disinherited.""",https://africanamericantrailproject.tufts.edu/20th-century-sites
231,Boston Fish Pier,-71.03838,42.350694,,212-234,Northern Avenue,Boston,MA,2210,1910,Building,,Original Location,,,,,"Boston’s Seaport District along the waterfront of South Boston has undergone a dramatic shift in recent years, evolving from acres and acres of windswept parking lots to a city-within-a-city filled with hotels, restaurants, nightlife destinations, brew pubs, an art museum, a federal courthouse, a cinema and more. For more than a century, though, the Boston Fish Pier—the country’s oldest working edifice of its kind—has stood as a reminder of the area’s seagoing past. Begun in 1910 and originally known as Pier 6, Boston Fish Pier was slated to replace the smaller, downtown piers that had been the center of the fishing industry in the Hub. Two years later, two large buildings were constructed along opposite sides of the pier to house fish dealers and other related marine businesses, along with an administration and auction building at the end of the pier. The structure also housed an eight-story cold storage facility, since demolished along with a bygone power plant, that was said to have been the largest in the world. When the Fish Pier made its official debut, it contained berths for 40 fishing vessels, with the capacity to have more than 80 boats unload simultaneously. For much of the 20th century, the fishing business at the pier was booming, peaking in 1963 with a total catch of 339 million pounds.",
30,Boston Women's Memorial,-71.083326,42.350814,,256,Commonwealth Ave,Boston,MA,2116,2003,Statue,,Original Location,,,,,,https://boston.curbed.com/maps/boston-statues-of-women
31,Boston Public Library - Faneuil Branch,-71.167826,42.351318,City of Boston,419,Faneuil Street,Brighton,MA,2135,,Building,,,,,,,,
64,Armory of First Corps Cadets,-71.082206,42.351495,Boston Park Plaza Hotel,130,Columbus Ave.,South Cove,MA,2116,1897,Building,,Original Location,,,,,"Mixed in with modern high-rise buildings, this building looks more like it belongs in medieval Europe than in Boston, but it once served an important role in the city’s history. It was one of many National Guard armories built across the state in the late 1800s, and it bears some resemblance to Springfield’s state armory, which was built around the same time. The Armory of the First Corps of Cadets was built between 1891 and 1897, and like many other prominent civic buildings in late 19th century Boston it was designed by William Gibbons Preston, whose other works included Mechanics Hall and the Museum of Natural History. Although the castle-like building seems somewhat whimsical in appearance, it actually served a very practical purpose; in the event of riots or other civil unrest, it would be able to withstand any attacks. The tower could even be used to exchange signals with officials at the Massachusetts State House, which is located on the other side of Boston Common.",http://bit.ly/1qfPz5L
49,Berkeley Building,-71.072697,42.351572,"A.W. Perry, Inc",414-26,Boylston Street,Back Bay,MA,2116,,Building,,Original Location,,,,,"Not to be confused with the old John Hancock Building a block away, which is also known as the Berkeley Building, this building was completed in 1905 and is an excellent surviving example of Beaux-Arts architecture in Boston. It was designed by Stephen Codman and Constant-Désiré Despradelle; the latter was a noted architect and professor at MIT, which at the time was located diagonally across from here. Over a century later, the building is still in good condition, with even the original 1905 storefronts still intact.",http://bit.ly/1eogG9l
39,Arlington Street Church,-71.071124,42.35206,Arlington Street Church corporation,355,Boylston Street,Back Bay,MA,2116,1861,Building,,,,,,,"The church is is a two-and-one-half story structure of symmetrical plan with a pitched slate-covered roof, projecting entrance porch, and steeple rising to a height of 190 feet. The exterior is entirely sheathed in New Jersey brownstone ashlar, and displays architectural embellishment derived from 16th century Italian Renaissance and 18th centu ry Eng I i sh sou rces. Among the Arlington Street Church’s greatest treasures is a series of sixteen memorial windows of opalescent stained glass- a uniquely American artistic phenomenon that was simultaneously developed by John La Farge and Louis Comfort Tiffany in 1880 as a way of “painting with glass.""",https://www.cityofboston.gov/images_documents/Arlington%20Street%20Church%2015%20Study%20Report_tcm3-42375.pdf
249,College Club,-71.073136,42.352865,,44,Commonwealth Ave,Boston,MA,2116,,Building,,Original Location,,,,,"""Founded in 1890, the College Club is the oldest women’s college club in the United States. It was founded by nineteen Boston women who were members of the National Association of Collegiate Alumnae (now the American Association of University Women). Their goal was to support higher education for women and to offer members a place to meet. The Club continues to provide scholarships for women.""",https://bwht.org/back-bay-east/#5
240,Tremont Theater,-71.063711,42.353197,,175,Tremont St,Boston,MA,2111,1888,Building,,Removed,,,,,"""Established in 1888, Tremont Theater was a major playhouse in Boston until a fire destroyed the original building at 175 Tremont Street in 1983. Most famously, in 1915, newspaper editor and activist William Monroe Trotter (1872 - 1934) led protests against D.W. Griffiths’ ""Birth of a Nation,"" the popular film that glorified the southern Ku Klux Klan. During the protests, many black activists, including Trotter, were arrested after the city’s Mayor, James Michael Curley (1874 - 1958), initially refused to censor the film. Trotter’s public protest inspired similar NAACP-led demonstrations across the country.""",https://africanamericantrailproject.tufts.edu/20th-century-sites
248,Home of Amy Beach,-71.071977,42.353234,,28,Commonwealth Ave,Boston,MA,2116,,Building,,Original Location,,,,,"""Amy Beach (1867-1944) is one of America’s most noted composers. Her work, which has been revived in recent years, is enjoying a new popularity. She began her career as a concert pianist, but after her marriage to Dr. Henry Harris Beach, she turned her talents to composition. When her Mass in E flat major, which took three years to complete, was performed by the Handel and Haydn Society with the Boston Symphony Orchestra in February 1892, it was the first work by a woman to be performed by the Society. In the same year her aria for an alto soloist was the first work by a woman to be performed by the New York Symphony Orchestra. Her standing as a composer led her to be commissioned to write the Festival Jubilate for chorus and orchestra which was played at the dedication of the Woman’s Building during Chicago’s 1892 World’s Columbia Exposition. Beach’s Gaelic Symphony was performed by orchestras throughout the country. In 1900, she premiered her own piano concerto with the Boston Symphony and later performed it in Europe. In addition to her larger pieces, Beach composed choral works, piano pieces, and over 150 popular songs.""",https://bwht.org/back-bay-east/#5
45,Proctor Building,-71.05913,42.35338,,100-6,Bedford Street,Boston,MA,,9/27/83,Building,,,,,,,,http://bit.ly/1qkUDpi
54,Keith Memorial Theater/Opera House,-71.062236,42.353976,,537-39,Washington St.,Theater,MA,2111,5/4/99,Building,,,,,,,,http://bit.ly/1kGuxvp
55,Bijou Theater/Amusement Center,-71.062571,42.354042,,543-547,Washington Street,Boston,MA,2201,1882,Building,,Removed,,,Mostly demolished after a fire,,"The Bijou Theatre opened on December 11, 1882 as a “Parlor Opera House” featuring Gilbert and Sullivan’s “Iolanthe”. It was located on the second floor of an annex to the next-door Adams House hotel. It replaced an earlier theatre in the same building that at various times was called the Lion, the Mechanics Institute, the Melodeon Varieties, the New Melodeon, and the Gaiety. B.F. Keith took over the Bijou Theatre in 1886 and began to stage vaudeville shows there. Later he converted it to show movies and renamed it the Bijou Dream Theatre. At one point it was also called the Intown Theatre. The Bijou Theatre continued operating into the 1940’s, but after the horrific Cocoanut Grove nightclub fire of 1942, Boston enacted stricter fire laws that doomed the Bijou Theatre. Its exits led not to the street but rather to two neighboring theatres, the old BF Keith Theatre (later called the Normandie Theatre and the Laffmovie Theatre) and the newer Keith Memorial Theatre (much later called the Savoy Theatre and the Boston Opera House). Eventually the Bijou Theatre was razed to the orchestra and stage floors, which became the roof of the stores below.",https://www.boston.gov/sites/default/files/imce-uploads/2019-07/blc_landmarks_petitions_as_of_july_2019_-_chronological.pdf
47,United Shoe Machinery Company Building,-71.055943,42.354045,,140,Federal Street,Boston,MA,,12/20/83,Building,,,,,,,,
53,Modern Theatre,-71.062277,42.354201,,523-525,Washington Street,Boston,MA,2111,6/25/02,Building,,,,,,,,http://bit.ly/1g3R9TB
36,Boston Massacre Monument / Crispus Attucks,-71.064359,42.354292,,,Tremont St & Avery St,Boston,MA,2108,,Statue,,,,,,,,https://africanamericantrailproject.tufts.edu/18th-centurygallery/zdfio5de477s888f3v18dwpod4644i
231,Parkman Bandstand,-71.065521,42.354301,,,Tremont and Winter Sts,Boston,MA,2108,1912,,,Original Location,,,,,"""Parkman Bandstand (est. 1912) has been the site of civil rights protests and political rallies by the region's African descended people since 1915, when newspaper editor William Monroe Trotter (1872 - 1934) led at this site the local campaign against D.W. Griffith's racist film ""Birth of a Nation."" In 2007, America's first African-American president, Barack Obama, held a political rally at the bandstand with Massachusetts' first African-American Governor, Deval Patrick. Most famously, on April 23, 1965, Martin Luther King Jr. spoke from the bandstand to a crowd of over 22,000 people involved in city-wide protests against segregated housing, unequal public schools, and deeply entrenched economic inequality across greater Boston.""",https://africanamericantrailproject.tufts.edu/20th-century-sites
